,weather,scenario,status
0,clear-noon,ghost_cutin,Completed
1,cloudy-noon,ghost_cutin,Completed
2,rain-noon,ghost_cutin,Completed
3,snow-noon,ghost_cutin,Completed
4,clear-noon,ghost_cutin,Completed
5,cloudy-noon,ghost_cutin,Completed
6,rain-noon,ghost_cutin,Completed
7,snow-noon,ghost_cutin,Completed
8,clear-noon,ghost_cutin,Completed
9,cloudy-noon,ghost_cutin,Completed
10,rain-noon,ghost_cutin,Completed
11,snow-noon,ghost_cutin,Completed
12,clear-noon,ghost_cutin,Completed
13,cloudy-noon,ghost_cutin,Completed
14,rain-noon,ghost_cutin,Completed
15,snow-noon,ghost_cutin,Completed
16,clear-noon,ghost_cutin,Completed
17,cloudy-noon,ghost_cutin,Completed
18,rain-noon,ghost_cutin,Completed
19,snow-noon,ghost_cutin,Failed -- Simulator crashed
20,clear-noon,ghost_cutin,Completed
21,cloudy-noon,ghost_cutin,Completed
22,rain-noon,ghost_cutin,Completed
23,snow-noon,ghost_cutin,Completed
24,clear-noon,ghost_cutin,Completed
25,cloudy-noon,ghost_cutin,Completed
26,rain-noon,ghost_cutin,Completed
27,snow-noon,ghost_cutin,Completed
28,clear-noon,ghost_cutin,Completed
29,cloudy-noon,ghost_cutin,Completed
30,rain-noon,ghost_cutin,Completed
31,snow-noon,ghost_cutin,Failed -- Accident
32,clear-noon,ghost_cutin,Completed
33,cloudy-noon,ghost_cutin,Completed
34,rain-noon,ghost_cutin,Completed
35,snow-noon,ghost_cutin,Completed
36,clear-noon,ghost_cutin,Completed
37,cloudy-noon,ghost_cutin,Completed
38,rain-noon,ghost_cutin,Completed
39,snow-noon,ghost_cutin,Completed
40,clear-noon,ghost_cutin,Completed
41,cloudy-noon,ghost_cutin,Completed
42,rain-noon,ghost_cutin,Completed
43,snow-noon,ghost_cutin,Completed
44,clear-noon,ghost_cutin,Completed
45,cloudy-noon,ghost_cutin,Completed
46,rain-noon,ghost_cutin,Completed
47,snow-noon,ghost_cutin,Completed
48,clear-noon,ghost_cutin,Completed
49,cloudy-noon,ghost_cutin,Completed
50,rain-noon,ghost_cutin,Completed
51,snow-noon,ghost_cutin,Completed
52,clear-noon,ghost_cutin,Completed
53,cloudy-noon,ghost_cutin,Completed
54,rain-noon,ghost_cutin,Completed
55,snow-noon,ghost_cutin,Completed
56,clear-noon,ghost_cutin,Completed
57,cloudy-noon,ghost_cutin,Failed -- Accident
58,rain-noon,ghost_cutin,Completed
59,snow-noon,ghost_cutin,Completed
60,clear-noon,ghost_cutin,Completed
61,cloudy-noon,ghost_cutin,Completed
62,rain-noon,ghost_cutin,Completed
63,snow-noon,ghost_cutin,Completed
64,clear-noon,ghost_cutin,Completed
65,cloudy-noon,ghost_cutin,Completed
66,rain-noon,ghost_cutin,Completed
67,snow-noon,ghost_cutin,Completed
68,clear-noon,ghost_cutin,Completed
69,cloudy-noon,ghost_cutin,Completed
70,rain-noon,ghost_cutin,Completed
71,snow-noon,ghost_cutin,Completed
72,clear-noon,ghost_cutin,Completed
73,cloudy-noon,ghost_cutin,Completed
74,rain-noon,ghost_cutin,Completed
75,snow-noon,ghost_cutin,Completed
76,clear-noon,ghost_cutin,Completed
77,cloudy-noon,ghost_cutin,Completed
78,rain-noon,ghost_cutin,Completed
79,snow-noon,ghost_cutin,Failed -- Accident
80,clear-noon,ghost_cutin,Completed
81,cloudy-noon,ghost_cutin,Completed
82,rain-noon,ghost_cutin,Completed
83,snow-noon,ghost_cutin,Completed
84,clear-noon,ghost_cutin,Completed
85,cloudy-noon,ghost_cutin,Completed
86,rain-noon,ghost_cutin,Completed
87,snow-noon,ghost_cutin,Completed
88,clear-noon,ghost_cutin,Completed
89,cloudy-noon,ghost_cutin,Completed
90,rain-noon,ghost_cutin,Completed
91,snow-noon,ghost_cutin,Completed
92,clear-noon,ghost_cutin,Completed
93,cloudy-noon,ghost_cutin,Completed
94,rain-noon,ghost_cutin,Completed
95,snow-noon,ghost_cutin,Completed
96,clear-noon,ghost_cutin,Failed -- Simulator crashed
97,cloudy-noon,ghost_cutin,Completed
98,rain-noon,ghost_cutin,Completed
